relative_im_path,bbox_x1,bbox_y1,bbox_x2,bbox_y2
00180.jpg,3,40,297,157
00181.jpg,84,256,913,752
00182.jpg,43,226,1001,630
00183.jpg,2,9,196,125
00184.jpg,34,51,604,344
00185.jpg,24,35,620,438
00186.jpg,6,72,255,178
00187.jpg,4,408,1600,934
00188.jpg,25,162,1241,764
00189.jpg,18,15,583,421
00190.jpg,198,416,1271,935
00191.jpg,129,75,654,422
00192.jpg,37,24,259,212
00193.jpg,82,107,990,723
00194.jpg,187,327,1211,769
00195.jpg,150,339,1313,771
00196.jpg,26,46,266,213
00197.jpg,47,102,492,371
00198.jpg,91,121,574,357
00199.jpg,151,298,1285,835
00200.jpg,30,55,301,187
00201.jpg,21,1,386,200
00202.jpg,233,217,1228,807
00203.jpg,30,167,945,545
00204.jpg,11,61,284,151
00205.jpg,29,70,612,356
00206.jpg,117,222,558,434
00207.jpg,31,119,438,258
00208.jpg,26,151,360,256
00209.jpg,58,136,973,636
00210.jpg,8,80,639,366
00211.jpg,11,47,598,365
00212.jpg,8,20,254,155
00213.jpg,37,62,261,191
00214.jpg,70,78,915,640
00215.jpg,38,50,221,138
00216.jpg,21,45,133,88
00217.jpg,45,39,594,444
00218.jpg,39,94,337,245
00219.jpg,89,1,597,316
00220.jpg,16,103,462,347
00221.jpg,29,21,477,299
00222.jpg,89,58,545,338
00223.jpg,42,115,299,288
00224.jpg,19,10,177,134
00225.jpg,20,50,463,313
00226.jpg,46,15,202,156
00227.jpg,36,63,613,397
00228.jpg,237,156,896,365
00229.jpg,5,46,255,138
00230.jpg,223,542,3692,2478
00231.jpg,73,109,606,374
00232.jpg,15,110,544,381
00233.jpg,276,124,1495,951
00234.jpg,99,364,1211,954
00235.jpg,59,63,549,404
00236.jpg,19,138,571,424
00237.jpg,11,10,396,265
00238.jpg,163,91,527,346
00239.jpg,4,19,255,172
00240.jpg,45,60,251,171
00241.jpg,32,59,1011,709
00242.jpg,10,53,273,167
00243.jpg,270,228,727,416
00244.jpg,21,93,479,331
00245.jpg,22,59,536,238
00246.jpg,1,317,1280,945
00247.jpg,47,125,850,468
00248.jpg,52,167,508,387
00249.jpg,6,155,631,450
00250.jpg,11,35,246,186
00251.jpg,576,466,2994,1953
00252.jpg,37,50,253,158
00253.jpg,51,105,579,335
00254.jpg,21,11,296,141
00255.jpg,29,78,734,396
00256.jpg,85,215,776,511
00257.jpg,23,146,617,329
00258.jpg,34,86,227,166
00259.jpg,75,254,2514,1929
00260.jpg,28,164,698,417
00261.jpg,32,79,378,221
00262.jpg,158,132,501,293
00263.jpg,177,299,730,673
00264.jpg,42,72,472,299
00265.jpg,15,74,387,195
00266.jpg,22,300,786,552
00267.jpg,25,133,620,374
00268.jpg,49,53,596,398
00269.jpg,29,192,605,391
00270.jpg,15,70,357,186
00271.jpg,11,23,141,80
00272.jpg,8,1,590,327
00273.jpg,37,65,458,321
00274.jpg,31,69,435,310
00275.jpg,165,183,495,358
00276.jpg,75,93,529,360
00277.jpg,72,193,926,613
00278.jpg,1,38,251,135
00279.jpg,16,31,553,297
00280.jpg,3,33,261,176
00281.jpg,214,240,387,342
00282.jpg,20,97,460,356
00283.jpg,112,190,664,342
00284.jpg,49,101,942,619
00285.jpg,7,20,634,298
00286.jpg,116,143,769,713
00287.jpg,56,299,1266,721
00288.jpg,60,46,258,138
00289.jpg,205,197,741,425
00290.jpg,68,30,620,506
00291.jpg,27,147,573,471
00292.jpg,133,73,806,251
00293.jpg,24,27,936,380
00294.jpg,11,141,629,386
00295.jpg,150,114,524,433
00296.jpg,18,115,618,456
00297.jpg,56,157,639,455
00298.jpg,49,67,362,245
00299.jpg,24,66,982,711
00300.jpg,41,103,994,692
00301.jpg,52,36,247,189
00302.jpg,1,37,296,171
00303.jpg,6,47,297,193
00304.jpg,14,29,235,168
00305.jpg,37,21,169,122
00306.jpg,37,125,582,456
00307.jpg,171,63,1187,894
00308.jpg,16,136,775,418
00309.jpg,50,122,589,338
00310.jpg,36,43,407,319
00311.jpg,1,69,280,228
00312.jpg,53,79,627,464
00313.jpg,13,44,477,289
00314.jpg,33,71,615,435
00315.jpg,555,278,1543,1207
00316.jpg,10,29,276,164
00317.jpg,2,48,300,202
00318.jpg,73,159,445,376
00319.jpg,38,8,564,402
00320.jpg,42,17,440,282
00321.jpg,42,63,593,397
00322.jpg,9,304,1009,677
00323.jpg,161,263,632,415
00324.jpg,15,26,199,123
00325.jpg,12,21,285,142
00326.jpg,29,28,432,249
00327.jpg,2,6,546,298
00328.jpg,41,49,244,176
00329.jpg,10,105,660,475
00330.jpg,168,92,333,305
00331.jpg,26,81,596,391
00332.jpg,76,247,396,396
00333.jpg,30,110,472,316
00334.jpg,179,300,1403,894
00335.jpg,23,31,236,176
00336.jpg,309,598,1767,995
00337.jpg,45,55,530,308
00338.jpg,14,129,441,360
00339.jpg,39,5,234,174
00340.jpg,139,152,488,305
00341.jpg,62,116,974,610
00342.jpg,152,195,502,436
00343.jpg,63,36,760,504
00344.jpg,36,59,770,397
00345.jpg,26,13,234,194
00346.jpg,112,21,2859,1928
00347.jpg,100,190,907,691
00348.jpg,14,59,522,266
00349.jpg,42,82,956,685
00350.jpg,17,52,247,158
00351.jpg,13,108,454,305
00352.jpg,107,40,433,240
00353.jpg,3,60,499,289
00354.jpg,44,212,984,596
00355.jpg,28,93,1011,675
00356.jpg,187,313,1381,1087
00357.jpg,31,47,415,255
00358.jpg,53,116,562,353
00359.jpg,27,71,630,422
00360.jpg,12,23,245,176
00361.jpg,17,64,941,620
00362.jpg,108,121,539,357
00363.jpg,14,60,402,300
00364.jpg,15,47,286,184
00365.jpg,17,82,630,496
00366.jpg,67,55,508,338
00367.jpg,30,118,618,334
00368.jpg,14,76,292,195
00369.jpg,40,52,603,357
00370.jpg,57,148,568,363
00371.jpg,5,56,430,245
00372.jpg,2,190,371,490
00373.jpg,243,318,805,629
00374.jpg,9,184,740,499
00375.jpg,122,48,697,401
00376.jpg,74,187,917,734
00377.jpg,20,48,624,453
00378.jpg,16,25,290,215
00379.jpg,119,194,942,586
00380.jpg,137,76,600,370
00381.jpg,66,88,455,322
00382.jpg,4,55,494,365
00383.jpg,80,1,549,431
00384.jpg,51,87,489,290
00385.jpg,217,199,631,358
00386.jpg,65,321,1232,828
00387.jpg,47,150,1007,635
00388.jpg,18,53,244,175
00389.jpg,5,96,409,262
00390.jpg,14,21,782,487
00391.jpg,433,262,1339,985
00392.jpg,62,220,992,667
00393.jpg,110,266,986,700
00394.jpg,229,126,624,345
00395.jpg,58,45,205,165
00396.jpg,21,99,442,295
00397.jpg,30,29,282,164
00398.jpg,29,93,408,242
00399.jpg,121,108,655,387
00400.jpg,32,51,260,153
00401.jpg,24,78,366,232
00402.jpg,1,18,392,240
00403.jpg,299,199,1415,894
00404.jpg,30,132,724,361
00405.jpg,42,37,624,328
00406.jpg,1,157,990,640
00407.jpg,19,136,498,329
00408.jpg,49,76,343,266
00409.jpg,21,66,605,463
00410.jpg,31,119,404,248
00411.jpg,52,47,586,260
00412.jpg,195,372,1908,1339
00413.jpg,33,150,613,401
00414.jpg,316,344,1269,891
00415.jpg,81,552,1917,1153
00416.jpg,122,157,921,587
00417.jpg,63,69,603,385
00418.jpg,12,70,388,273
00419.jpg,50,89,584,387
00420.jpg,71,64,425,328
00421.jpg,71,158,690,341
00422.jpg,32,74,277,203
00423.jpg,69,59,637,461
00424.jpg,22,83,415,322
00425.jpg,48,36,572,300
00426.jpg,85,318,1223,863
00427.jpg,33,128,581,458
00428.jpg,33,102,595,429
00429.jpg,83,182,573,402
00430.jpg,82,74,589,340
00431.jpg,47,201,534,426
00432.jpg,54,128,429,353
00433.jpg,58,189,879,642
00434.jpg,18,50,280,162
00435.jpg,20,75,606,325
00436.jpg,20,51,271,180
00437.jpg,19,67,412,314
00438.jpg,52,94,543,323
00439.jpg,11,89,644,415
00440.jpg,12,60,456,306
00441.jpg,30,35,382,235
00442.jpg,53,56,391,278
00443.jpg,37,60,218,144
00444.jpg,4,4,377,277
00445.jpg,121,169,1387,775
00446.jpg,17,41,465,293
00447.jpg,43,110,462,296
00448.jpg,37,67,617,437
00449.jpg,66,117,506,289
00450.jpg,57,59,506,288
00451.jpg,66,90,507,385
00452.jpg,59,42,256,165
00453.jpg,65,91,391,278
00454.jpg,251,299,1423,901
00455.jpg,434,136,1528,829
00456.jpg,79,63,285,171
00457.jpg,79,91,600,456
00458.jpg,16,96,483,277
00459.jpg,39,81,597,465
00460.jpg,95,139,886,541
00461.jpg,111,2,553,350
00462.jpg,5,8,83,58
00463.jpg,113,75,1551,1136
00464.jpg,72,216,884,579
00465.jpg,53,115,565,380
00466.jpg,104,261,511,480
00467.jpg,47,92,209,178
00468.jpg,1,18,300,147
00469.jpg,13,88,483,259
00470.jpg,4,9,409,193
00471.jpg,3,7,253,165
00472.jpg,34,315,1832,905
00473.jpg,18,38,249,178
00474.jpg,70,125,389,340
00475.jpg,21,85,793,389
00476.jpg,95,125,585,390
00477.jpg,160,175,923,623
00478.jpg,9,7,98,81
00479.jpg,133,38,691,514
00480.jpg,29,46,239,134
00481.jpg,6,44,270,175
00482.jpg,80,91,589,429
00483.jpg,18,26,623,342
00484.jpg,29,62,509,288
00485.jpg,70,118,401,299
00486.jpg,43,74,587,399
00487.jpg,8,23,296,167
00488.jpg,28,35,207,139
00489.jpg,55,78,454,272
00490.jpg,21,51,233,163
00491.jpg,37,14,358,288
00492.jpg,13,108,612,386
00493.jpg,19,116,700,400
00494.jpg,39,337,1239,711
00495.jpg,111,98,863,766
00496.jpg,24,132,1021,734
00497.jpg,6,79,470,287
00498.jpg,78,102,560,368
00499.jpg,12,31,412,249
00500.jpg,11,10,291,212
00501.jpg,4,30,146,86
00502.jpg,1,11,101,84
00503.jpg,11,48,491,237
00504.jpg,45,63,237,138
00505.jpg,49,88,226,172
00506.jpg,26,185,764,610
00507.jpg,139,206,590,395
00508.jpg,85,237,1561,1052
00509.jpg,64,130,554,341
00510.jpg,10,73,613,388
00511.jpg,74,43,569,407
00512.jpg,27,61,265,160
00513.jpg,12,164,533,351
00514.jpg,18,22,292,163
00515.jpg,17,70,282,166
00516.jpg,18,99,613,427
00517.jpg,20,205,1008,694
00518.jpg,34,57,237,178
00519.jpg,7,39,254,177
00520.jpg,14,59,253,142
00521.jpg,122,196,512,439
00522.jpg,6,7,94,68
00523.jpg,33,151,1000,528
00524.jpg,38,98,590,353
00525.jpg,116,148,391,318
00526.jpg,26,78,245,161
00527.jpg,56,3,736,271
00528.jpg,38,74,213,162
00529.jpg,45,44,563,415
00530.jpg,25,32,236,180
00531.jpg,167,396,1945,1016
00532.jpg,26,139,607,343
00533.jpg,40,68,487,263
00534.jpg,17,120,563,359
00535.jpg,508,240,1379,955
00536.jpg,29,116,593,409
00537.jpg,1,328,758,773
00538.jpg,56,214,1544,755
00539.jpg,30,11,413,316
00540.jpg,3,39,300,128
00541.jpg,12,52,275,208
00542.jpg,25,78,600,421
00543.jpg,8,79,397,240
00544.jpg,9,72,633,359
00545.jpg,5,569,2040,1468
00546.jpg,40,114,350,285
00547.jpg,63,110,592,351
00548.jpg,11,36,247,175
00549.jpg,8,5,547,267
00550.jpg,11,130,394,257
00551.jpg,227,315,766,532
00552.jpg,4,41,281,148
00553.jpg,16,95,628,339
00554.jpg,41,38,299,190
00555.jpg,37,89,603,317
00556.jpg,101,254,938,605
00557.jpg,117,15,723,513
00558.jpg,54,49,528,336
00559.jpg,20,65,612,409
00560.jpg,7,85,250,191
00561.jpg,151,169,573,425
00562.jpg,65,95,368,241
00563.jpg,9,78,899,520
00564.jpg,45,86,600,355
00565.jpg,187,117,649,492
00566.jpg,520,373,1582,1043
00567.jpg,19,34,247,159
00568.jpg,30,128,402,307
00569.jpg,25,234,1179,675
00570.jpg,10,44,239,193
00571.jpg,18,34,255,182
00572.jpg,78,245,896,604
00573.jpg,141,525,1803,1854
00574.jpg,117,95,612,362
00575.jpg,13,75,632,446
00576.jpg,20,24,232,156
00577.jpg,51,97,669,286
00578.jpg,177,229,931,789
00579.jpg,71,82,368,267
00580.jpg,49,241,1573,1075
00581.jpg,310,322,1121,691
00582.jpg,2,11,222,115
00583.jpg,107,66,566,314
00584.jpg,133,95,827,540
00585.jpg,388,220,1340,975
00586.jpg,31,105,246,194
00587.jpg,23,90,504,289
00588.jpg,12,56,247,155
00589.jpg,41,140,558,325
00590.jpg,9,16,299,204
00591.jpg,66,36,573,446
00592.jpg,62,128,615,389
00593.jpg,13,31,245,155
00594.jpg,33,85,596,395
00595.jpg,91,143,582,410
00596.jpg,9,53,212,132
00597.jpg,62,162,607,458
00598.jpg,25,84,280,198
00599.jpg,33,56,408,294
00600.jpg,47,14,360,181
00601.jpg,28,55,974,675
00602.jpg,29,24,591,388
00603.jpg,4,16,213,118
00604.jpg,59,155,734,459
00605.jpg,117,376,1610,1048
00606.jpg,99,72,894,675
00607.jpg,73,195,570,449
00608.jpg,254,283,922,469
00609.jpg,19,33,223,128
00610.jpg,395,247,1812,1254
00611.jpg,19,83,618,384
00612.jpg,33,98,594,391
00613.jpg,24,72,589,481
00614.jpg,1,18,1022,692
00615.jpg,76,135,965,665
00616.jpg,61,66,737,430
00617.jpg,39,83,617,477
00618.jpg,42,216,998,619
00619.jpg,50,37,308,210
00620.jpg,107,110,994,717
00621.jpg,10,28,791,520
00622.jpg,35,64,549,375
00623.jpg,33,142,612,396
00624.jpg,52,58,446,231
00625.jpg,12,41,652,341
00626.jpg,30,44,384,243
00627.jpg,143,89,390,238
00628.jpg,16,20,291,220
00629.jpg,3,10,259,193
00630.jpg,133,79,660,551
00631.jpg,11,8,270,160
00632.jpg,59,224,869,575
00633.jpg,84,285,599,699
00634.jpg,15,31,286,148
00635.jpg,60,91,727,405
00636.jpg,37,51,370,268
00637.jpg,69,43,868,467
00638.jpg,3,41,258,157
00639.jpg,44,125,668,483
00640.jpg,33,177,583,422
00641.jpg,14,113,599,417
00642.jpg,37,54,261,175
00643.jpg,35,118,573,332
00644.jpg,55,138,588,349
00645.jpg,20,13,301,113
00646.jpg,8,38,266,146
00647.jpg,169,428,1393,1001
00648.jpg,14,60,223,138
00649.jpg,64,153,818,423
00650.jpg,64,136,439,329
00651.jpg,8,147,782,511
00652.jpg,6,21,318,140
00653.jpg,15,46,194,109
00654.jpg,55,61,799,445
00655.jpg,82,185,928,579
00656.jpg,43,75,445,252
00657.jpg,6,15,271,160
00658.jpg,192,235,1260,878
00659.jpg,136,308,893,710
00660.jpg,173,132,497,296
00661.jpg,8,71,421,285
00662.jpg,47,57,612,455
00663.jpg,49,91,675,322
00664.jpg,31,66,619,425
00665.jpg,12,46,239,154
00666.jpg,127,137,673,352
00667.jpg,21,44,453,318
00668.jpg,14,48,256,164
00669.jpg,12,41,246,186
00670.jpg,97,49,455,326
00671.jpg,24,91,506,270
00672.jpg,50,16,226,184
00673.jpg,25,1,259,189
00674.jpg,5,16,153,102
00675.jpg,103,289,1049,584
00676.jpg,35,107,620,389
00677.jpg,11,34,217,140
00678.jpg,105,400,978,692
00679.jpg,190,229,681,454
00680.jpg,59,52,247,155
00681.jpg,5,32,588,340
00682.jpg,11,15,297,201
00683.jpg,108,1,550,295
00684.jpg,68,37,698,446
00685.jpg,260,498,1700,1030
00686.jpg,30,52,385,190
00687.jpg,167,84,854,575
00688.jpg,75,6,864,628
00689.jpg,59,63,369,293
00690.jpg,111,55,346,217
00691.jpg,84,189,573,376
00692.jpg,48,45,589,320
00693.jpg,64,103,934,617
00694.jpg,14,43,221,150
00695.jpg,87,80,567,458
00696.jpg,2,73,567,331
00697.jpg,16,55,560,382
00698.jpg,29,24,219,151
00699.jpg,37,36,609,376
00700.jpg,93,101,404,274
00701.jpg,22,49,276,181
00702.jpg,567,449,1428,988
00703.jpg,21,137,472,337
00704.jpg,11,29,631,435
00705.jpg,17,8,343,248
00706.jpg,13,20,626,446
00707.jpg,26,32,677,418
00708.jpg,102,298,903,609
00709.jpg,129,256,729,498
00710.jpg,13,34,272,147
00711.jpg,29,19,623,405
00712.jpg,457,414,1308,951
00713.jpg,58,82,966,720
00714.jpg,75,121,603,370
00715.jpg,47,89,690,441
00716.jpg,8,91,257,189
00717.jpg,21,31,609,359
00718.jpg,296,222,1121,607
00719.jpg,118,93,380,317
00720.jpg,10,62,152,117
00721.jpg,74,231,418,360
00722.jpg,62,102,565,405
00723.jpg,25,241,751,524
00724.jpg,100,27,238,125
00725.jpg,206,55,808,570
00726.jpg,7,85,246,182
00727.jpg,1,31,208,92
00728.jpg,38,66,266,181
00729.jpg,64,160,420,347
00730.jpg,30,56,619,395
00731.jpg,30,37,608,331
00732.jpg,40,349,571,613
00733.jpg,289,136,555,306
00734.jpg,16,157,778,520
00735.jpg,10,60,894,506
00736.jpg,18,4,428,251
00737.jpg,39,12,216,187
00738.jpg,42,153,602,389
00739.jpg,29,86,601,373
00740.jpg,37,77,582,342
00741.jpg,41,81,629,410
00742.jpg,5,25,271,177
00743.jpg,45,115,627,455
00744.jpg,51,52,541,364
00745.jpg,32,72,591,386
00746.jpg,10,18,242,181
00747.jpg,213,307,763,557
00748.jpg,54,39,392,188
00749.jpg,15,36,271,154
00750.jpg,17,70,370,257
00751.jpg,66,247,978,527
00752.jpg,305,270,1439,959
00753.jpg,68,128,549,419
00754.jpg,60,2,578,440
00755.jpg,30,32,593,296
00756.jpg,21,47,580,344
00757.jpg,85,118,379,290
00758.jpg,30,154,771,502
00759.jpg,25,99,602,388
00760.jpg,100,5,1179,862
00761.jpg,57,131,570,397
00762.jpg,6,106,611,372
00763.jpg,66,176,588,362
00764.jpg,8,106,391,262
00765.jpg,6,24,297,153
00766.jpg,18,92,532,297
00767.jpg,106,73,805,546
00768.jpg,9,33,246,161
00769.jpg,61,222,959,569
00770.jpg,21,45,772,547
00771.jpg,22,59,626,412
00772.jpg,30,31,611,453
00773.jpg,33,50,197,150
00774.jpg,45,199,615,432
00775.jpg,82,99,565,351
00776.jpg,15,45,639,420
00777.jpg,18,40,491,283
00778.jpg,60,17,455,322
00779.jpg,17,121,555,384
00780.jpg,36,63,478,234
00781.jpg,38,6,595,476
00782.jpg,68,95,593,319
00783.jpg,156,255,955,619
00784.jpg,42,163,725,382
00785.jpg,19,96,469,266
00786.jpg,13,32,774,529
00787.jpg,114,128,800,432
00788.jpg,30,105,294,233
00789.jpg,23,25,245,150
00790.jpg,124,406,1546,1120
00791.jpg,9,61,334,199
00792.jpg,155,59,532,361
00793.jpg,7,50,394,261
00794.jpg,23,102,408,265
00795.jpg,9,30,251,169
00796.jpg,38,213,564,436
00797.jpg,135,62,922,611
00798.jpg,10,1,576,261
00799.jpg,11,96,625,387
00800.jpg,3,73,211,148
00801.jpg,57,158,351,296
00802.jpg,45,140,357,247
00803.jpg,36,36,549,457
00804.jpg,78,31,570,419
00805.jpg,15,32,296,149
00806.jpg,79,171,713,385
00807.jpg,13,87,630,401
00808.jpg,9,46,141,94
00809.jpg,58,13,579,414
00810.jpg,66,18,237,185
00811.jpg,49,114,577,367
00812.jpg,1,63,480,315
00813.jpg,32,93,941,696
00814.jpg,17,35,234,167
00815.jpg,34,74,473,273
00816.jpg,12,34,139,78
00817.jpg,28,96,477,317
00818.jpg,57,220,673,468
00819.jpg,8,17,388,287
00820.jpg,30,116,963,523
00821.jpg,37,153,411,299
00822.jpg,391,169,859,401
00823.jpg,15,24,144,72
00824.jpg,174,243,846,546
00825.jpg,3,57,455,287
00826.jpg,120,90,610,359
00827.jpg,165,123,645,366
00828.jpg,4,91,600,308
00829.jpg,191,332,1027,663
00830.jpg,159,131,533,356
00831.jpg,51,55,618,377
00832.jpg,14,5,246,188
00833.jpg,102,85,463,360
00834.jpg,26,113,612,372
00835.jpg,80,158,453,345
00836.jpg,27,125,425,311
00837.jpg,44,112,633,374
00838.jpg,20,224,988,644
00839.jpg,35,19,614,435
00840.jpg,105,104,626,312
00841.jpg,41,67,432,286
00842.jpg,42,147,753,414
00843.jpg,17,31,342,242
00844.jpg,30,15,639,419
00845.jpg,52,16,246,168
00846.jpg,39,119,558,434
00847.jpg,56,23,415,334
00848.jpg,21,96,755,412
00849.jpg,1,125,549,372
00850.jpg,47,179,1227,812
00851.jpg,9,85,335,209
00852.jpg,30,308,1511,975
00853.jpg,35,258,1218,908
00854.jpg,45,41,420,280
00855.jpg,29,66,614,433
00856.jpg,51,105,341,189
00857.jpg,57,87,569,437
00858.jpg,139,416,1954,1149
00859.jpg,11,32,575,357
00860.jpg,273,145,658,366
00861.jpg,83,103,500,371
00862.jpg,36,47,964,444
00863.jpg,26,98,623,431
00864.jpg,25,128,959,450
00865.jpg,11,74,392,255
00866.jpg,11,79,627,480
00867.jpg,20,135,557,367
00868.jpg,17,38,231,152
00869.jpg,35,75,592,334
00870.jpg,38,74,326,205
00871.jpg,373,350,780,631
00872.jpg,69,109,461,284
00873.jpg,517,291,765,462
00874.jpg,49,142,426,307
00875.jpg,34,79,749,461
00876.jpg,51,121,588,387
00877.jpg,61,33,241,195
00878.jpg,101,162,882,650
00879.jpg,16,196,670,405
00880.jpg,16,99,439,254
00881.jpg,18,63,885,663
00882.jpg,140,122,1059,496
00883.jpg,14,29,643,408
00884.jpg,14,72,245,173
00885.jpg,51,31,565,352
00886.jpg,111,68,393,309
00887.jpg,6,9,124,89
00888.jpg,7,51,253,156
00889.jpg,34,400,1555,1153
00890.jpg,26,15,698,386
00891.jpg,93,106,1160,799
00892.jpg,32,48,1534,791
00893.jpg,28,134,410,316
00894.jpg,11,31,578,268
00895.jpg,24,108,709,375
00896.jpg,61,55,258,161
00897.jpg,30,34,513,274
00898.jpg,89,68,483,310
00899.jpg,60,93,657,353
00900.jpg,64,75,256,158
00901.jpg,160,59,759,346
00902.jpg,6,40,256,170
00903.jpg,316,393,1755,1074
00904.jpg,15,96,504,279
00905.jpg,26,81,615,365
00906.jpg,68,52,435,331
00907.jpg,21,73,464,294
00908.jpg,18,71,632,390
00909.jpg,50,63,541,346
00910.jpg,33,2,593,456
00911.jpg,20,76,898,612
00912.jpg,82,33,542,234
00913.jpg,9,51,635,414
00914.jpg,40,283,1546,964
00915.jpg,206,222,746,467
00916.jpg,15,70,622,378
00917.jpg,11,51,442,198
00918.jpg,37,180,615,445
00919.jpg,127,155,525,383
